time,hdop,vdop,satellites,total_satellites,GPS,GLONASS,Galileo,Beidou
2024-11-25 18:01:36,,,0,0,0,0,0,0
2024-11-25 18:01:37,,,0,0,0,0,0,0
2024-11-25 18:01:38,,,0,0,0,0,0,0
2024-11-25 18:01:39,,,0,0,0,0,0,0
2024-11-25 18:01:40,,,0,0,0,0,0,0
2024-11-25 18:01:41,,,0,0,0,0,0,0
2024-11-25 18:01:42,,,0,0,0,0,0,0
2024-11-25 18:01:43,,,0,0,0,0,0,0
2024-11-25 18:01:44,,,0,0,0,0,0,0
2024-11-25 18:01:45,,,0,0,0,0,0,0
2024-11-25 18:01:46,,,0,0,0,0,0,0
2024-11-25 18:01:47,,,0,0,0,0,0,0
2024-11-25 18:01:48,,,0,0,0,0,0,0
2024-11-25 18:01:49,,,0,0,0,0,0,0
2024-11-25 18:01:50,,,0,0,0,0,0,0
2024-11-25 18:01:51,,,0,0,0,0,0,0
2024-11-25 18:01:52,,,0,0,0,0,0,0
2024-11-25 18:01:53,,,0,0,0,0,0,0
2024-11-25 18:01:54,,,0,0,0,0,0,0
2024-11-25 18:01:55,,,0,0,0,0,0,0
2024-11-25 18:01:56,,,0,0,0,0,0,0
2024-11-25 18:01:57,,,0,0,0,0,0,0
2024-11-25 18:01:58,,,0,1,0,1,0,0
2024-11-25 18:01:59,,,0,0,0,0,0,0
2024-11-25 18:02:00,,,0,0,0,0,0,0
2024-11-25 18:02:01,,,0,0,0,0,0,0
2024-11-25 18:02:02,,,0,0,0,0,0,0
2024-11-25 18:02:03,,,0,1,1,1,0,0
2024-11-25 18:02:04,,,0,0,0,0,0,0
2024-11-25 18:02:05,,,0,0,0,0,0,0
2024-11-25 18:02:06,,,0,0,0,0,0,0
2024-11-25 18:02:07,,,0,0,0,0,0,0
2024-11-25 18:02:07,,,0,3,3,1,0,0
2024-11-25 18:02:08,,,0,0,0,0,0,0
2024-11-25 23:12:56,,,0,0,0,0,0,0
2024-11-25 23:12:57,,,0,0,0,0,0,0
2024-11-25 23:12:58,2.57,,4,0,0,0,0,0
2024-11-25 23:13:00,1.37,0.99,7,13,13,0,0,0
2024-11-25 23:13:01,2.83,0.88,4,0,0,0,0,0
2024-11-25 23:13:02,1.37,0.95,7,0,0,0,0,0
2024-11-25 23:13:03,1.46,0.88,6,0,0,0,0,0
2024-11-25 23:13:04,1.46,0.88,6,0,0,0,0,0
2024-11-25 23:13:05,1.37,0.88,7,14,14,0,0,0
2024-11-25 23:13:06,1.37,0.88,7,0,0,0,0,0
2024-11-25 23:13:07,1.37,0.88,7,0,0,0,0,0
2024-11-25 23:13:08,1.37,0.88,7,0,0,0,0,0
2024-11-25 23:13:09,1.37,0.88,7,0,0,0,0,0
2024-11-25 23:13:10,1.37,0.88,7,14,14,0,0,0
2024-11-25 23:13:11,1.37,0.88,7,0,0,0,0,0
2024-11-25 23:13:12,1.37,0.88,7,0,0,0,0,0
2024-11-25 23:13:13,1.37,0.88,7,0,0,0,0,0
2024-11-25 23:13:14,1.37,0.88,7,0,0,0,0,0
2024-11-25 23:13:15,1.37,0.88,7,14,14,0,0,0
2024-11-25 23:13:16,1.37,0.88,7,0,0,0,0,0
2024-11-25 23:13:17,1.37,0.88,7,0,0,0,0,0
