epoch_time,satellite,C1,L1,D1
2024 11 25 22 52 03  0,G01,12345.678,23456.789,34567.89
2024 11 25 22 52 03  0,G02,12345.678,23456.789,34567.89
2024 11 25 22 52 03  0,G03,12345.678,23456.789,34567.89
2024 11 25 22 52 03  0,G04,12345.678,23456.789,34567.89
2024 11 25 22 52 03  0,G05,12345.678,23456.789,34567.89
2024 11 25 22 52 03  0,G06,12345.678,23456.789,34567.89
2024 11 25 22 52 03  0,G07,12345.678,23456.789,34567.89
2024 11 25 22 52 04  0,G01,12345.678,23456.789,34567.89
2024 11 25 22 52 04  0,G02,12345.678,23456.789,34567.89
2024 11 25 22 52 04  0,G03,12345.678,23456.789,34567.89
2024 11 25 22 52 04  0,G04,12345.678,23456.789,34567.89
2024 11 25 22 52 04  0,G05,12345.678,23456.789,34567.89
2024 11 25 22 52 04  0,G06,12345.678,23456.789,34567.89
2024 11 25 22 52 04  0,G07,12345.678,23456.789,34567.89
2024 11 25 22 52 05  0,G01,12345.678,23456.789,34567.89
2024 11 25 22 52 05  0,G02,12345.678,23456.789,34567.89
2024 11 25 22 52 05  0,G03,12345.678,23456.789,34567.89
2024 11 25 22 52 05  0,G04,12345.678,23456.789,34567.89
2024 11 25 22 52 05  0,G05,12345.678,23456.789,34567.89
2024 11 25 22 52 05  0,G06,12345.678,23456.789,34567.89
2024 11 25 22 52 05  0,G07,12345.678,23456.789,34567.89
2024 11 25 22 52 06  0,G01,12345.678,23456.789,34567.89
2024 11 25 22 52 06  0,G02,12345.678,23456.789,34567.89
2024 11 25 22 52 06  0,G03,12345.678,23456.789,34567.89
2024 11 25 22 52 06  0,G04,12345.678,23456.789,34567.89
2024 11 25 22 52 06  0,G05,12345.678,23456.789,34567.89
2024 11 25 22 52 06  0,G06,12345.678,23456.789,34567.89
2024 11 25 22 52 06  0,G07,12345.678,23456.789,34567.89
2024 11 25 22 52 07  0,G01,12345.678,23456.789,34567.89
2024 11 25 22 52 07  0,G02,12345.678,23456.789,34567.89
2024 11 25 22 52 07  0,G03,12345.678,23456.789,34567.89
2024 11 25 22 52 07  0,G04,12345.678,23456.789,34567.89
2024 11 25 22 52 07  0,G05,12345.678,23456.789,34567.89
2024 11 25 22 52 07  0,G06,12345.678,23456.789,34567.89
2024 11 25 22 52 07  0,G07,12345.678,23456.789,34567.89
2024 11 25 22 52 08  0,G01,12345.678,23456.789,34567.89
2024 11 25 22 52 08  0,G02,12345.678,23456.789,34567.89
2024 11 25 22 52 08  0,G03,12345.678,23456.789,34567.89
2024 11 25 22 52 08  0,G04,12345.678,23456.789,34567.89
2024 11 25 22 52 08  0,G05,12345.678,23456.789,34567.89
2024 11 25 22 52 08  0,G06,12345.678,23456.789,34567.89
2024 11 25 22 52 08  0,G07,12345.678,23456.789,34567.89
2024 11 25 22 52 09  0,G01,12345.678,23456.789,34567.89
2024 11 25 22 52 09  0,G02,12345.678,23456.789,34567.89
2024 11 25 22 52 09  0,G03,12345.678,23456.789,34567.89
2024 11 25 22 52 09  0,G04,12345.678,23456.789,34567.89
2024 11 25 22 52 09  0,G05,12345.678,23456.789,34567.89
2024 11 25 22 52 09  0,G06,12345.678,23456.789,34567.89
2024 11 25 22 52 09  0,G07,12345.678,23456.789,34567.89
2024 11 25 22 52 10  0,G01,12345.678,23456.789,34567.89
2024 11 25 22 52 10  0,G02,12345.678,23456.789,34567.89
2024 11 25 22 52 10  0,G03,12345.678,23456.789,34567.89
2024 11 25 22 52 10  0,G04,12345.678,23456.789,34567.89
2024 11 25 22 52 10  0,G05,12345.678,23456.789,34567.89
2024 11 25 22 52 10  0,G06,12345.678,23456.789,34567.89
2024 11 25 22 52 10  0,G07,12345.678,23456.789,34567.89
2024 11 25 22 52 11  0,G01,12345.678,23456.789,34567.89
2024 11 25 22 52 11  0,G02,12345.678,23456.789,34567.89
2024 11 25 22 52 11  0,G03,12345.678,23456.789,34567.89
2024 11 25 22 52 11  0,G04,12345.678,23456.789,34567.89
2024 11 25 22 52 11  0,G05,12345.678,23456.789,34567.89
2024 11 25 22 52 11  0,G06,12345.678,23456.789,34567.89
2024 11 25 22 52 11  0,G07,12345.678,23456.789,34567.89
2024 11 25 22 52 12  0,G01,12345.678,23456.789,34567.89
2024 11 25 22 52 12  0,G02,12345.678,23456.789,34567.89
2024 11 25 22 52 12  0,G03,12345.678,23456.789,34567.89
2024 11 25 22 52 12  0,G04,12345.678,23456.789,34567.89
2024 11 25 22 52 12  0,G05,12345.678,23456.789,34567.89
2024 11 25 22 52 12  0,G06,12345.678,23456.789,34567.89
2024 11 25 22 52 12  0,G07,12345.678,23456.789,34567.89
